step,s_current,x_err,y_err,mag,cmd_x_pair,cmd_y_pair,tip_x,tip_y,tip_z
163,0.082800,-0.02623,-0.06918,0.07399,0.001265,-0.000134,0.009873,0.001149,0.146732
164,0.083000,-0.02126,-0.09376,0.09614,0.001282,-0.000059,0.009956,0.001132,0.146915
165,0.083200,-0.03943,-0.09889,0.10646,0.001313,0.000020,0.010046,0.001077,0.147096
166,0.083400,-0.03449,-0.08584,0.09251,0.001341,0.000088,0.010145,0.000984,0.147276
167,0.083600,-0.03342,-0.06559,0.07361,0.001341,0.000088,0.010246,0.000876,0.147456
168,0.083800,-0.03251,-0.04309,0.05398,0.001341,0.000088,0.010342,0.000771,0.147636
169,0.084000,-0.01927,-0.02861,0.03450,0.001341,0.000088,0.010432,0.000673,0.147817
170,0.084200,-0.02391,-0.04476,0.05075,0.001341,0.000088,0.010516,0.000581,0.147999
171,0.084400,-0.03366,-0.01051,0.03526,0.001341,0.000088,0.010596,0.000495,0.148181
172,0.084600,-0.02963,-0.01111,0.03164,0.001341,0.000088,0.010670,0.000414,0.148365
173,0.084800,-0.02363,0.02346,0.03330,0.001341,0.000088,0.010740,0.000339,0.148549
174,0.085000,-0.04849,0.02138,0.05299,0.001341,0.000088,0.010806,0.000268,0.148734
175,0.085200,-0.06056,0.01802,0.06318,0.001341,0.000088,0.010868,0.000202,0.148919
176,0.085400,-0.09029,0.00202,0.09031,0.001413,0.000087,0.010945,0.000140,0.149101
177,0.085600,-0.11016,0.01934,0.11184,0.001501,0.000071,0.011056,0.000087,0.149274
178,0.085800,-0.13228,0.00534,0.13239,0.001607,0.000067,0.011209,0.000043,0.149436
179,0.086000,-0.14690,0.00351,0.14694,0.001725,0.000064,0.011410,0.000004,0.149586
180,0.086200,-0.12708,-0.01457,0.12791,0.001826,0.000076,0.011654,-0.000034,0.149723
181,0.086400,-0.11902,0.01293,0.11972,0.001922,0.000066,0.011935,-0.000070,0.149850
182,0.086600,-0.08830,0.01515,0.08959,0.001992,0.000054,0.012242,-0.000098,0.149967
183,0.086800,-0.12672,0.02303,0.12879,0.002094,0.000035,0.012574,-0.000116,0.150075
184,0.087000,-0.07380,0.02302,0.07731,0.002094,0.000035,0.012912,-0.000128,0.150180
185,0.087200,-0.03891,0.00180,0.03895,0.002094,0.000035,0.013231,-0.000137,0.150287
186,0.087400,0.00859,0.02979,0.03101,0.002094,0.000035,0.013531,-0.000146,0.150397
187,0.087600,0.02271,0.01977,0.03011,0.002094,0.000035,0.013813,-0.000154,0.150511
188,0.087800,0.03003,0.02501,0.03908,0.002094,0.000035,0.014078,-0.000161,0.150628
189,0.088000,0.03473,0.02454,0.04252,0.002094,0.000035,0.014325,-0.000168,0.150749
190,0.088200,0.04197,0.01517,0.04462,0.002094,0.000035,0.014558,-0.000175,0.150874
191,0.088400,0.02378,0.02552,0.03488,0.002094,0.000035,0.014776,-0.000180,0.151001
192,0.088600,0.02769,0.03226,0.04251,0.002094,0.000035,0.014981,-0.000186,0.151133
193,0.088800,-0.01173,0.03221,0.03428,0.002094,0.000035,0.015173,-0.000191,0.151267
194,0.089000,0.00596,0.00988,0.01154,0.002094,0.000035,0.015353,-0.000195,0.151405
195,0.089200,-0.01891,0.00438,0.01941,0.002094,0.000035,0.015523,-0.000199,0.151546
196,0.089400,-0.03272,0.00005,0.03272,0.002094,0.000035,0.015681,-0.000203,0.151689
197,0.089600,-0.06203,0.00225,0.06207,0.002094,0.000035,0.015830,-0.000206,0.151836
198,0.089800,-0.04914,0.01342,0.05094,0.002094,0.000035,0.015970,-0.000209,0.151985
199,0.090000,-0.06617,-0.00950,0.06685,0.002094,0.000035,0.016102,-0.000212,0.152137
200,0.090200,-0.07489,-0.00823,0.07534,0.002094,0.000035,0.016225,-0.000215,0.152292
201,0.090400,-0.08206,0.00082,0.08206,0.002159,0.000034,0.016357,-0.000217,0.152442
202,0.090600,-0.06660,-0.02148,0.06998,0.002159,0.000034,0.016495,-0.000219,0.152591
203,0.090800,-0.07688,-0.00710,0.07721,0.002159,0.000034,0.016626,-0.000221,0.152741
204,0.091000,-0.05314,-0.02575,0.05905,0.002159,0.000034,0.016750,-0.000222,0.152893
205,0.091200,-0.02169,-0.00151,0.02174,0.002159,0.000034,0.016866,-0.000224,0.153049
